id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBJAGU;JAGUARI;84.0;120.0;2025-01-01;617.530029296875;556.1199951171875;64.93000030517578;12.0;5.0;0.0;0.0;5.0;7.0;20.049999237060547;;20.049999237060547;-0.5820000171661377;0.10000000149011612;11.520000457763672
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBFUNI;FUNIL;85.0;123.0;2025-01-01;455.6199951171875;396.1000061035156;40.900001525878906;357.70001220703125;357.0;86.0;0.0;443.0;;685.3900146484375;;359.2200012207031;-0.38999998569488525;6.569399833679199;323.6199951171875
SE;Sudeste/Centro-Oeste;RBB;PARAIBA DO SUL;SUDESTE;PBSTAC;SANTA CECILIA;86.0;125.0;2025-01-01;352.8599853515625;350.7099914550781;91.94999694824219;598.8099975585938;0.0;458.0;;458.0;140.0;818.510009765625;;157.08999633789062;-0.004000000189989805;7.219399929046631;144.4600067138672
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;PBPCDA;PICADA;87.0;126.0;2025-01-01;659.27001953125;526.9199829101562;114.55000305175781;61.0;47.0;13.0;1.0;61.0;;61.04999923706055;;61.04999923706055;-0.012000000104308128;0.05999999865889549;61.04999923706055
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;PUSOBR;SOBRAGI;88.0;127.0;2025-01-01;437.75;356.2799987792969;133.3300018310547;152.0;70.0;80.0;2.0;152.0;;136.91000366210938;;75.88999938964844;-0.0010000000474974513;0.8454999923706055;91.77999877929688
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL;SUDESTE;PBANTA;ANTA;89.0;128.0;2025-01-01;251.2899932861328;236.5800018310547;79.0;929.530029296875;162.0;658.0;0.0;820.0;119.12000274658203;1271.219970703125;1100.56005859375;347.8599853515625;;9.057700157165527;500.67999267578125
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;PBUSSI;SIMPLICIO;90.0;129.0;2025-01-01;249.89999389648438;138.5800018310547;69.2699966430664;119.08000183105469;119.0;0.0;10.0;119.0;;0.0;119.12000274658203;0.0;;;0.0
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;PBILHP;ILHA POMBOS;91.0;130.0;2025-01-01;139.60000610351562;108.5;81.33000183105469;1044.2099609375;622.0;428.0;0.0;1050.0;0.0;1390.6300048828125;1219.97998046875;141.38999938964844;0.01899999938905239;9.20419979095459;220.1300048828125
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL;SUDESTE;RPSANT;SANTANA;92.0;181.0;2025-01-01;362.739990234375;;54.630001068115234;9.489999771118164;;0.0;0.0;0.0;140.0;10.649999618530273;163.38999938964844;3.390000104904175;;;9.460000038146973
SE;Sudeste/Centro-Oeste;RBB;PARAIBA DO SUL;SUDESTE;PBVIG;VIGARIO;93.0;182.0;2025-01-01;398.30999755859375;397.92999267578125;75.38999938964844;144.86500549316406;;129.0;0.0;129.0;;0.0;163.38999938964844;0.0;;0.0;144.86500549316406
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;RLNPEC;NILO PEÇANHA;94.0;131.0;2025-01-01;397.80999755859375;86.72000122070312;;102.0;102.0;0.0;0.0;102.0;0.0;3.4200000762939453;144.0;0.0;0.0;0.029999999329447746;-26.969999313354492
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL;SUDESTE;RPTOCO;TOCOS;95.0;180.0;2025-01-01;442.6499938964844;;16.1299991607666;9.880000114440918;;0.0;;0.0;10.0;7.269999980926514;;7.269999980926514;;0.029999999329447746;9.90999984741211
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL;SUDESTE;RLLAJE;LAJES;96.0;124.0;2025-01-01;412.44000244140625;;83.25;10.239999771118164;0.0;7.0;0.0;7.0;-11.0;3.4200000762939453;10.6899995803833;3.4200000762939453;-0.3059999942779541;0.029999999329447746;-0.03999999910593033
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;RLFONT;FONTES;97.0;132.0;2025-01-01;412.42999267578125;89.77999877929688;;10.239999771118164;34.0;;0.0;34.0;;3.4200000762939453;30.06999969482422;0.0;0.0;0.029999999329447746;-91.76000213623047
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;RLPPAS;PEREIRA PASSOS;98.0;133.0;2025-01-01;86.2300033569336;47.810001373291016;92.75;10.239999771118164;129.0;0.0;0.0;129.0;0.0;3.4200000762939453;174.07000732421875;;-0.014000000432133675;0.029999999329447746;-8.548999786376953
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL;SUDESTE;PBBBRA;BARRA BRAUNA;99.0;185.0;2025-01-01;151.50999450683594;126.69999694824219;74.3499984741211;226.14999389648438;113.0;109.0;;222.0;;240.77999877929688;;240.77999877929688;-0.006000000052154064;1.664199948310852;227.80999755859375
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA;PARANA;PNUSBL;BATALHA;111.0;20.0;2025-01-01;796.2999877929688;755.2000122070312;66.91999816894531;552.4000244140625;49.0;0.0;0.0;49.0;;418.20001220703125;;418.20001220703125;0.3540000021457672;0.11999999731779099;552.8800048828125
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA;PARANA;PNUHSF;S.DO FACÃO;112.0;21.0;2025-01-01;741.780029296875;674.8499755859375;30.139999389648438;336.30999755859375;75.0;0.0;0.0;75.0;;652.469970703125;;261.79998779296875;0.9929999709129333;0.20000000298023224;288.04998779296875
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA;PARANA;PREMBO;EMBORCAÇÃO;113.0;24.0;2025-01-01;638.9400024414062;519.5499877929688;38.65999984741211;793.72998046875;106.0;0.0;;106.0;;1348.280029296875;;732.9600219726562;1.1720000505447388;1.0738999843597412;719.8599853515625
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA;PARANA;PRNPON;NOVA PONTE;114.0;25.0;2025-01-01;798.6300048828125;695.6599731445312;44.310001373291016;766.0900268554688;75.0;0.0;;75.0;;696.8300170898438;;696.8300170898438;3.11899995803833;0.734499990940094;769.9400024414062
